,Date,User,Tweet
39,2023-01-15 12:50:50+00:00,ivanulus_,"Koliko vidim jedan od najvećih problema oko epidemije Malih boginja je neznanje tj. što dobar deo ljudi misli da su to tzv. Ovčije boginje, koje smo svi preležali kao mali"
40,2023-01-15 12:21:42+00:00,s_elenophile,"Neki roditelji u mojoj okolini lagano u mojoj blizini šetaju i dovode decu koja imaju one manje opasne varičele, ovčije boginje, a ja kao mali nisam preležao nijedne i pogodite ko se dezinfikuje opet kao na početku epidemije korone. 🥲🤕"
41,2023-01-15 12:16:00+00:00,gocic_rade,@santicmiroslav Za koju farmaceutsku mafiju radiš.MMR vskcine su zlo pd koje deca oboljevaju od autizma.u zatvor idem ali moje drete neće da primi ta govna.obolelo dete je doživotan zatvor za roditelje
42,2023-01-15 08:55:25+00:00,zrnopameti,"U slučaju epidemije, MMR vakcinu djeca mogu primiti i prije navršenih godinu dana. Da se doza dove nulta.  https://t.co/d0Y3r9Qgox"
43,2023-01-15 07:25:43+00:00,OdonomadOki,"@javor_ivanjica Moribil(male boginje ili rubeole), kako im samo ime kaže, mogu da budu smrtonosne. Moderna medicina izgubi oko 0,2% pacijenata zaraženih tim virusom, ali u nedostatku uslova za lečenje upale pluća koja ih često prati, smrtnost je i do 5% zaraženih!"
44,2023-01-15 06:35:05+00:00,Nnicky75,"@bilopaprosl @bez_osobenosti @Grracciell varicele su manje opasne od morbila,njih su uglavnom svi imali,morbile redje jer se pocela davati vakcina tokom osamdesetih.Varicele su vodene ili ovcije boginje,morbili su male boginje. Opasnost je od epidemije jer se jako brzo sire a imaju cesce i jace komplikacije od vodenih."
45,2023-01-15 00:34:43+00:00,DN9981,"@BrascicOlja @marcconi79 @acamoonshine @ivanulus_ U davna vremena se zarazavala cela generacija u skoli pa nam nista nije bilo.
Svako dete je prelezalo sve boginje i niko nije pravio dramu.Roditelji su dovodili decu kod zarazenih da i oni prebole dok su mladji.lakse je.Nije se znalo za autizam,gluten,za nezdrav secer,mast."
46,2023-01-14 23:52:50+00:00,VesnaKostic5,@veceivan @Cebe_Kratko Tvrdis da se roditeljima posle vakcina nista nije desilo a ne uzimas u obzir da su to nekad bile vakcine sto danas sa MMR nije slucaj gde je obolelo x miliona dece sirom sveta. Pitaj indijce zasto im je Gejts na listi za odstrel zbog pola miliona defektne dece nakon polio vakcine
47,2023-01-14 14:55:28+00:00,vanjavucko,"male boginje zaraznije od variole vere, jer jedan obolela osoba od morbila zarazi 15 do 20 ljudi, a oboleli od variole vere smo 10 do 12 osoba.
https://t.co/q12bLw5vV8"
48,2023-01-14 13:17:00+00:00,dondojovo,"Dok razmišljate o vakcinaciji svoje đece, pred ovu epidemiju malih boginja (Morbilli), 

osim što treba znati da to nisu “ovčije boginje”( Varicella ),

biG da ve pripośetim da dok je NIŠTA CUCA, lizao kašičice, a naša čuvena ”ministarka smrti”, JBB odbijala vakcine,⬇️"
49,2023-01-13 20:36:44+00:00,cretyne,"@BorisaCitizen Izvinite ali to prosto nije istina. Vakcine protiv malih boginja kod nas se primenjuju od 70ih godina. Nikakav Bil Gejts ili ko god nije doneo morbile. Podatke za male boginje možete naći, brojke obolelih još od 40ih godina ali birate da to ne učinite."
50,2023-01-13 20:27:55+00:00,cretyne,@BorisaCitizen Tokom prethodne epidemije (2017/18) imali smo 587 osoba sa pneumonijom kao komplikacijom i 2 sa meningitisom. Male boginje nisu bezazlena bolest. Nije cela vaša generacija prelezala morbile. Zašto dopuštamo da ljudi umiru od bolesti koju možemo da sprečimo?
