,Date,User,Tweet
62,2023-02-28 09:41:36+00:00,radiogalaksija,"... antivakcinacijskih pokreta i stavova koji su procvetali u javnosti tokom pandemije SARS-Cov-2 korona virusa u poslednjih par godina. Još pre godinu dana bilo je jasno da je samo pitanje vremena kada će se u Srbiji pojaviti epidemija malih boginja, bolesti koja dovodi do..."
63,2023-02-26 21:30:36+00:00,LicniGlas,"@Andricjeprezime Da bi se uradila operacija recimo katarakte pored normalnih analiza treba potvrda o preležanoj koroni ili potvrda o vakcinisanju i obavezno testiranje na kovid (pretpostavljam da mora da se potroše kupljeni testovi)
Moj zaključak je da ""epidemiju"" čuvaju za drugo poluvreme"
64,2023-02-26 13:31:12+00:00,ReporterNovine,"NAJNOVIJI KORONA PRESEK: I danas manji broj zaraženih, 45 osoba preminulo! https://t.co/8Ecn4FqkeB"
65,2023-02-26 00:47:14+00:00,JanKowa49965906,"@CzeKuku2 @MIRFOR67 to jest tzw przekaz podprogowy. To samo bylo z pandemia. ""Newsy"" w stylu wypadku samochodowego i pod koniec wspominano ze wszyscy byli zarazeni covid, jakby to jakikolwiek zwiazek mialo ze zdarzeniem. Tutaj wszystko to inscenizacja, podejrzewam ze nawet to z byciem trans"
66,2023-02-25 18:42:26+00:00,NeuvrscenS,"@MarkoSket Malovrh je šolan bebc, v covid nategu (sledilnik) je našel svoj smisel prikrajanja podatkov o obolelih, cepljenih, in skrivanja tistih, ki niso šli v enačbo."
67,2023-02-25 18:38:13+00:00,PeterMalovrh,"@bizjakjoze1 @Boldy29627079 natreniran iz covid epidemije, hvala anticepilcem, vladi,lockdownerjem in nesposobnim akademikom:)
moje projekcije so vseeno bile na zavidljivem nivoju, predlogi za ukrepanje in sproščanje premišljeni in pravočasni, glede cepljenja vse države zdaj delajo po moje
tu zdaj gre enako"
68,2023-02-25 18:29:52+00:00,infodemija,"Tko o čemu, Trio ""virus ne mutira"" o širenju laži.
Na https://t.co/m0J6m6o9PH pogledajte kako ""cjepivo zaustavlja širenje"", ""covid potvrde gase epidemiju"", ""maske beskrajno štite"" i još ZNANOSTI &amp; STRUKE. https://t.co/rNUScxSBeE"
69,2023-02-25 09:06:31+00:00,VTanasijevic,"Novi korona-presek: Manje od 1.000 zaraženih, preminulo osam osoba - B92 https://t.co/TvXcmcWvFr"
70,2023-02-25 08:35:28+00:00,4Blaze20,"@24sata_HR Najveca laz i prevara su korona virus gdje se prijavljivalo zarazenih osoba puno vise nego sto ih je bilo ,lagalo se da su bolesni da se ne ide na posao jer se automatski dobivao slobodan dan,cjepivo koje je nastalo sa svih strana od jednom 10 vrsta cjepiva…"
71,2023-02-24 12:30:35+00:00,matija_macek,"@zdravniska Preden o etiki spregovori medij - o tem spregovorite ZZS. Cepljenje otrok, nosečnic in podobno. Utemeljite tudi nenadne ""neznane"" smrti, katerih epidemija je v Kanadi (Alberta) že presegla epidemijo Covid 19.
Pojasnite tudi zakaj ljudje umirajo neznane smrti v 21 stoletju."
72,2023-02-24 07:23:27+00:00,radicbozo81,"Što je smrtonosnije u bolnici, gripa ili Covid 19?
-
5212 pacijenata u Švicarskoj je bilo hospitalizirano s C19 ili gripom. Svi s C19 su bili zaraženi Omicronom i hospitalizirani između 15.1. 2022. i 15.3.2022.
Podaci o gripi uključivali su slučajeve od 1/2018. do 15.3.2022.

/1"
73,2023-02-24 07:03:33+00:00,RTCGme,"➡️Vakcinacija protiv kovid infekcije ovih dana moguća je u kućnim uslovima i za osobe koje nijesu nepokretne ili bolesne.
➡️Portal #RTCG nije dobio odgovore zbog čega je tako u trenutku kada je znatno manji broj zaraženih 
https://t.co/s52ZCa9CyX"
74,2023-02-24 06:35:38+00:00,ReporterNovine,"Korona divlja u Šumadiji: Zaraženo još 330 ljudi, u Kragujevcu čak 210 osoba! https://t.co/Xyt0p9nlCq"
75,2023-02-24 04:41:02+00:00,OkvirNet,"Zdravstvene vlasti u Kini saopštile su u četvrtak da je epidemija COVID-19 u zemlji „u osnovi“ okončana, ali nije u potpunosti gotova jer je od januara pronađeno sedam uvezenih slučajeva...
https://t.co/SnpWoq1DR2"
76,2023-02-23 22:23:16+00:00,ger_zena,"@slobadoktor Mislim da trenutno ima mnogo zaraženih ali se ne testiraju, jer se računa da korone više nema. Ja sam se testirala samo zato što sam kod kuće imala test (bio je pozitivan), inače simptomi su mi isti kao prošli put kad je bila korona. Nisam išla kod lekara."
77,2023-02-23 17:26:54+00:00,R474278202,"...@8Marec , to so ljudje, katere ste levuharji žalili in pljuvali v njih v času epidemije covid, in sedaj glumite 🐒ter se delate norca iz njih"
78,2023-02-23 06:45:53+00:00,SerbianSparrow,@majamaric Covid epidemija je bila test inteligencije
79,2023-02-23 04:34:24+00:00,ObradMP,"@neinfluentan Mnoge od uključenih studija poticale su iz perioda pre 2016, kada nije bilo epidemije gripa, zatim bilo je i studija iz vremena pandemije gripa 2009. godine, dok je tek nekoliko studija poticalo iz perioda kovid pandemije. 🔐

(kad čitate i ono ispod naslova)"
80,2023-02-22 21:39:18+00:00,OnlineDanas,"Preminulo još pet pacijenata, korona virusom zaraženo 1.015 osoba https://t.co/p5c2C4xYua"
81,2023-02-22 20:59:27+00:00,MatejK46,"@caplcapinski @HZlatko Epidemija, a to misliš na kovid narativo? Kaj pa glede na smrtnost, bi blo zate sprejemljivo, da je kovid razsajal že 2019, kaj se je v 20 spremenilo?"
82,2023-02-22 18:47:37+00:00,PeterMalovrh,"@MilenkoZiherl1 @SimonK95016243 @FKindlhofer covid epidemija je takole šokirala večkrat
zdaj pa so šokirali ""demokrati"", ki jim je glorifikacija nacizma čisto ok in iščejo tisoč razlogov, da se ne bi bilo treba pridružiti tej borbi. Sramota, cel svet je glasoval proti glorifikaciji, EU/NATO pa za"
83,2023-02-22 12:42:00+00:00,Interagitprop,"Kladim se da će se u svibnju proglasiti kraj epidemiji COVID-19.

Zašto svibanj? Sjedinjene Države, ako sam dobro zapamtio podatak, najavile su da će proglasiti kraj epidemije 11. svibnja 2023."
84,2023-02-22 07:47:21+00:00,pandicakoalica,@bluesbaba2 Kod nas ne. Evo danas zvanično vraćamo pacijente koji su zakazali operacije a primaćemo samo hitne slučajeve. 3 odeljenja si zatvorena jer je sve više i više zaraženih. Mnoge ne smemo da pustimo na kućno lečenje pa ćemo izgleda biti i kovid bolnica.
